Filename, Subject, Verb
fortunata_y_jacinda_3a.txt, la mitad, vivir
fortunata_y_jacinda_3a.txt, el trabajo, obligaran
fortunata_y_jacinda_3a.txt, el único goce, consistía
fortunata_y_jacinda_3a.txt, sus amigos, constantes
fortunata_y_jacinda_3a.txt, las pinturas, pasaba
fortunata_y_jacinda_3a.txt, que, sentía
fortunata_y_jacinda_3a.txt, la influencia, sentir
fortunata_y_jacinda_3a.txt, el olfato, Heridos
fortunata_y_jacinda_3a.txt, las facultades, despertando
fortunata_y_jacinda_3a.txt, la memoria, refrescaba
fortunata_y_jacinda_3a.txt, el entendimiento, desentumecía
fortunata_y_jacinda_3a.txt, que, propias
fortunata_y_jacinda_3a.txt, los objetos, sonreían
fortunata_y_jacinda_3a.txt, Las personas, representaban
fortunata_y_jacinda_3a.txt, que, viera
fortunata_y_jacinda_3a.txt, que, vendía
fortunata_y_jacinda_3a.txt, Juan Pablo, encariñaba
fortunata_y_jacinda_3a.txt, los cafés, parecen
fortunata_y_jacinda_3a.txt, que, parecen
fortunata_y_jacinda_3a.txt, las casas, parecen
fortunata_y_jacinda_3a.txt, Juan Pablo, llevaba
fortunata_y_jacinda_3a.txt, Los cambios, determinados
fortunata_y_jacinda_3a.txt, el impulso, partía
fortunata_y_jacinda_3a.txt, el amo, portó
fortunata_y_jacinda_3a.txt, que, roto
fortunata_y_jacinda_3a.txt, Juan Pablo, gustaba
fortunata_y_jacinda_3a.txt, alguno, pierda
fortunata_y_jacinda_3a.txt, las deudas, cautivan
fortunata_y_jacinda_3a.txt, la asistencia, hipotecan
fortunata_y_jacinda_3a.txt, algún tertulio, gana
fortunata_y_jacinda_3a.txt, que, viene
fortunata_y_jacinda_3a.txt, Quien, tomado
fortunata_y_jacinda_3a.txt, La tertulia, tenía
fortunata_y_jacinda_3a.txt, que, asistían
fortunata_y_jacinda_3a.txt, Rubín, punto
fortunata_y_jacinda_3a.txt, La peña, ocupaba
fortunata_y_jacinda_3a.txt, los parroquianos, llegaran
fortunata_y_jacinda_3a.txt, el mozo, ponía
fortunata_y_jacinda_3a.txt, Juan Pablo, entraba
fortunata_y_jacinda_3a.txt, los mozos, conversación
fortunata_y_jacinda_3a.txt, el amo, preparaba
fortunata_y_jacinda_3a.txt, la puerta, abría
fortunata_y_jacinda_3a.txt, que, entraba
fortunata_y_jacinda_3a.txt, El amo, saludaba
fortunata_y_jacinda_3a.txt, que, caía
fortunata_y_jacinda_3a.txt, el café, sirviera
fortunata_y_jacinda_3a.txt, el chico, venía
fortunata_y_jacinda_3a.txt, Juan Pablo, entraba
fortunata_y_jacinda_3a.txt, que, cumplir
fortunata_y_jacinda_3a.txt, El mozo, saludaba
fortunata_y_jacinda_3a.txt, él, frotábase
fortunata_y_jacinda_3a.txt, el tintero, pone
fortunata_y_jacinda_3a.txt, las proporciones, convenientes
fortunata_y_jacinda_3a.txt, el vaso, llenara
fortunata_y_jacinda_3a.txt, Esto, elemental
fortunata_y_jacinda_3a.txt, los terrones, echando
fortunata_y_jacinda_3a.txt, que, entraban
fortunata_y_jacinda_3a.txt, veterano, sabía
fortunata_y_jacinda_3a.txt, que, corresponden
fortunata_y_jacinda_3a.txt, la historia, siga
fortunata_y_jacinda_3a.txt, la etapa, pasar
fortunata_y_jacinda_3a.txt, Rubín, tenía
fortunata_y_jacinda_3a.txt, que, hablaban
fortunata_y_jacinda_3a.txt, cada cual, cultivaba
fortunata_y_jacinda_3a.txt, Leopoldo Montes, llevaba
fortunata_y_jacinda_3a.txt, D. Basilio, descendía
fortunata_y_jacinda_3a.txt, Relimpio, procaz
fortunata_y_jacinda_3a.txt, Rubín, descollaba
fortunata_y_jacinda_3a.txt, Feijoo, escéptico
fortunata_y_jacinda_3a.txt, esa fraternidad, brillaba
fortunata_y_jacinda_3a.txt, el carlista, dan
fortunata_y_jacinda_3a.txt, los partidos, estábanlo
fortunata_y_jacinda_3a.txt, el progreso, trajo
fortunata_y_jacinda_3a.txt, la suavidad, trocó
fortunata_y_jacinda_3a.txt, Algunos, creen
fortunata_y_jacinda_3a.txt, Esto, síntoma
fortunata_y_jacinda_3a.txt, el mundo, amigo
fortunata_y_jacinda_3a.txt, las ideas, pretexto
fortunata_y_jacinda_3a.txt, una confabulación, Existe
fortunata_y_jacinda_3a.txt, el turno, establece
fortunata_y_jacinda_3a.txt, la inseguridad, consiste
fortunata_y_jacinda_3a.txt, que, constante
fortunata_y_jacinda_3a.txt, que, prestan
fortunata_y_jacinda_3a.txt, los partidos, prestan
fortunata_y_jacinda_3a.txt, que, otorgándose
fortunata_y_jacinda_3a.txt, los hechos, miran
fortunata_y_jacinda_3a.txt, La moral, capa
fortunata_y_jacinda_3a.txt, cuál, paño
fortunata_y_jacinda_3a.txt, Feijoo, achacaban
fortunata_y_jacinda_3a.txt, usted, tradicionalista
fortunata_y_jacinda_3a.txt, todo esto, comedia
fortunata_y_jacinda_3a.txt, que, tenía
fortunata_y_jacinda_3a.txt, Su facha, denunciaba
fortunata_y_jacinda_3a.txt, su palabra, instructiva
fortunata_y_jacinda_3a.txt, Feijoo, escuchaba
fortunata_y_jacinda_3a.txt, alguno, expresaba
fortunata_y_jacinda_3a.txt, él, loco
fortunata_y_jacinda_3a.txt, la razón, ausencia
fortunata_y_jacinda_3a.txt, una, la
fortunata_y_jacinda_3a.txt, que, ponen
fortunata_y_jacinda_3a.txt, otra, la
fortunata_y_jacinda_3a.txt, que, dan
fortunata_y_jacinda_3a.txt, que, debate
fortunata_y_jacinda_3a.txt, que, suele
fortunata_y_jacinda_3a.txt, otra, existe
fortunata_y_jacinda_3a.txt, que, ejercen
fortunata_y_jacinda_3a.txt, Juan Pablo, pertenecían
fortunata_y_jacinda_3a.txt, la pana, daba
fortunata_y_jacinda_3a.txt, D. Basilio Andrés de la Caña, sentaba
fortunata_y_jacinda_3a.txt, que, vulgo
fortunata_y_jacinda_3a.txt, su nariz, pasar
fortunata_y_jacinda_3a.txt, que, quiere
fortunata_y_jacinda_3a.txt, Su frente, espaciosísima
fortunata_y_jacinda_3a.txt, que, parecen
fortunata_y_jacinda_3a.txt, que, daban
fortunata_y_jacinda_3a.txt, que, hacer
fortunata_y_jacinda_3a.txt, don Basilio, sacaba
fortunata_y_jacinda_3a.txt, que, tenía
fortunata_y_jacinda_3a.txt, que, daban
fortunata_y_jacinda_3a.txt, los ministros, experimentaron
fortunata_y_jacinda_3a.txt, aquella carátula, ejercía
fortunata_y_jacinda_3a.txt, muchos incautos, miraban
fortunata_y_jacinda_3a.txt, la Caña, tomaba
fortunata_y_jacinda_3a.txt, que, parecía
fortunata_y_jacinda_3a.txt, Su sueldo, pasó
fortunata_y_jacinda_3a.txt, las Musas, alegrábanse
fortunata_y_jacinda_3a.txt, sus amigos, decían
fortunata_y_jacinda_3a.txt, los doctrinarios, colocaban
fortunata_y_jacinda_3a.txt, Mon, dio
fortunata_y_jacinda_3a.txt, Esta época, crujía
fortunata_y_jacinda_3a.txt, la Rusia, hará
fortunata_y_jacinda_3a.txt, el _Gabinete de Saint-James_, llamaba
